Here we made 6 Hilbert matrices of sizes 3,5,10,15,20,25 and
solved them each using basic Gaussian elimination, 
scaled partial pivoting, LU factorization, and Gauss-Seidel.
Below are the residual error vectors for each matrix size and
solution method combination:

							size: 3
	basic				scaled				LU				G-S
1.4268857762e-09		4.74472244827e-09		-5.74095770922e-11		-0.0153536885678
6.28828600302e-10		3.04444652821e-09		-1.40843953167e-09		-0.0164346741451
-4.01882360723e-10		7.33167027089e-10		1.05330916211e-09		-0.0171878915394
1.74351533211e-10		2.38624264792e-09		2.61663024581e-10		-0.0176978514998
-5.02609065478e-12		-9.2337582025e-11		-2.66960564765e-10		-0.0180254101748
2.60074184411e-11		1.27747212808e-09		-1.021730478e-09		-0.0182150827424
6.31515784111e-10		1.9495832726e-10		-8.76848593734e-12		-0.0182998797382
-1.60707536168e-09		7.21231074863e-10		-1.66528302259e-09		-0.0183045720836

							size: 25
	basic				scaled				LU				G-S
-2.26836871061e-05		-1.5313138102e-07		2.04496487632e-07		0.594052780221
-2.27859353499e-05		7.13559632731e-06		-1.13418435531e-05		0.280800999664
-1.20474474448e-05		-8.70958733737e-06		-4.25650255698e-05		0.153413505383
-9.56157593768e-07		4.74353880842e-07		1.81173287344e-05		0.0899226997288
-3.64141402282e-05		-6.5135336294e-07		1.73283242808e-06		0.0541597855173
-2.26675110585e-05		-2.16351325577e-06		-3.02969055898e-05		0.0323033733186
-7.69501983589e-05		5.60223465501e-06		-3.4988528437e-05		0.0181518881901
-2.70899816961e-05		-5.06310126269e-07		-1.94605871648e-05		0.00859217492248
-4.58065917381e-05		3.27403318012e-07		-2.673310541e-05		0.00192550637382
2.38612076453e-06		1.21144263066e-07		-1.2872668298e-05		-0.00283688998978
-7.95144840263e-05		3.45518150102e-06		-3.22053871382e-06		-0.00630097726744
-1.6011476175e-05		2.9428008636e-06		1.450610195e-05		-0.0088540625755
2.91559342941e-06		1.12745408615e-06		1.43596852263e-05		-0.0107524948718
-2.90751746394e-05		1.08477561694e-06		-4.05192664363e-05		-0.0121710121775
-9.17698514452e-06		2.3863159419e-06		-3.58798660039e-05		-0.0132317492679
-4.0460552826e-05		6.66652068992e-07		-1.37576719667e-05		-0.0140219375353
-1.56227956961e-05		-6.37876496068e-09		-1.18080984305e-05		-0.0146050589672
9.68586809491e-06		1.49124930848e-07		2.11299598918e-05		-0.0150280757178
-2.38300214196e-05		-3.14720968259e-06		1.43169512366e-05		-0.0153262331914
-3.02398166063e-06		1.58552229124e-08		-2.59121652544e-05		-0.0155263191424
-6.93051257072e-06		-1.92372240959e-06		-1.4559907102e-05		-0.0156489283445
-1.85440574618e-05		1.54270782754e-06		-1.09146629305e-05		-0.0157101841979
-1.34909889657e-05		-7.95199628534e-07		-2.11203834969e-05		-0.015722689586
1.14922505856e-05		-1.08432946205e-06		1.91216451168e-05		-0.0156896834651
7.53856877672e-06		-1.70015116346e-06		-9.08257545285e-08		-0.0156131796282


It seems that throughout basic, scaled, and LU give consistently
not great answers.  Most elements in these vectors fall between
about -4 and 4 with a few going higher, some almost reaching 10
or -10.  Gauss-Seidel on the other hand is very consistently close
to the solution with the elements in its error vectors never leaving
a lower bound of -0.03 and upper bound of 0.6
